code,constituency,candidate,party,evm_votes,postal_votes,total_votes,percentage_votes,round,last_updated_time,last_updated_date,party_full_name,party_short,rank_in_constituency,winner_votes,runner_up_votes,winning_margin_votes,winning_margin_percentage
S22227,NANGUNERI - 227,REDDIARPATTI V. NARAYANAN,Tamilaga Vettri Kazhagam,74047,905,74952,35.79,25/25,11:27 PM,04/05/2026,Tamilaga Vettri Kazhagam,TVK,1,74952,58533,16419,21.906019852705732
S22169,NANNILAM - 169,KAMARAJ. R,All India Anna Dravida Munnetra Kazhagam,102544,918,103462,44.7,25/25,11:27 PM,04/05/2026,All India Anna Dravida Munnetra Kazhagam,AIADMK,1,103462,61738,41724,40.32784983858808
S22131,NATHAM - 131,NATHAM VISWANATHAN R,All India Anna Dravida Munnetra Kazhagam,85215,493,85708,35.84,27/27,11:27 PM,04/05/2026,All India Anna Dravida Munnetra Kazhagam,AIADMK,1,85708,73839,11869,13.848182200028003
S22153,NEYVELI - 153,RAJENDRAN.R,All India Anna Dravida Munnetra Kazhagam,62862,869,63731,37.76,20/20,11:27 PM,04/05/2026,All India Anna Dravida Munnetra Kazhagam,AIADMK,1,63731,52769,10962,17.200420517487565
S22130,NILAKKOTTAI - 130,AYYANAR.R,Tamilaga Vettri Kazhagam,67953,627,68580,34.71,25/25,11:27 PM,04/05/2026,Tamilaga Vettri Kazhagam,TVK,1,68580,65655,2925,4.2650918635170605
S22128,ODDANCHATRAM - 128,SAKKARAPANI. R,Dravida Munnetra Kazhagam,92068,1031,93099,46.17,26/26,11:27 PM,04/05/2026,Dravida Munnetra Kazhagam,DMK,1,93099,49850,43249,46.4548491390885
S2284,OMALUR - 84,MANI. R,All India Anna Dravida Munnetra Kazhagam,110810,1436,112246,41.4,26/26,11:30 PM,04/05/2026,All India Anna Dravida Munnetra Kazhagam,AIADMK,1,112246,97707,14539,12.95280009978084
S22175,ORATHANADU - 175,R. VAITHILINGAM,Dravida Munnetra Kazhagam,85816,943,86759,44.42,24/24,11:27 PM,04/05/2026,Dravida Munnetra Kazhagam,DMK,1,86759,51731,35028,40.37390933505458
S22217,OTTAPIDARAM - 217,P .MATHANRAJA,Tamilaga Vettri Kazhagam,80561,1064,81625,41.62,24/24,11:27 PM,04/05/2026,Tamilaga Vettri Kazhagam,TVK,1,81625,52542,29083,35.63001531393568
S22232,PADMANABHAPURAM - 232,CHELLASWAMY. R,Communist Party of India (Marxist),67896,1042,68938,38.18,24/24,11:27 PM,04/05/2026,Communist Party of India (Marxist),CPM,1,68938,53369,15569,22.584061040355103
S2257,PALACODU - 57,ANBALAGAN. K.P.,All India Anna Dravida Munnetra Kazhagam,101533,1274,102807,45.64,23/23,11:30 PM,04/05/2026,All India Anna Dravida Munnetra Kazhagam,AIADMK,1,102807,63765,39042,37.97601330648691
S22127,PALANI - 127,RAVIMANOHARAN. K,All India Anna Dravida Munnetra Kazhagam,66426,560,66986,32.11,27/27,11:30 PM,04/05/2026,All India Anna Dravida Munnetra Kazhagam,AIADMK,1,66986,66293,693,1.0345445316931896
S22226,PALAYAMKOTTAI - 226,M.ABDUL WAHAB,Dravida Munnetra Kazhagam,78293,1451,79744,44.15,22/22,11:30 PM,04/05/2026,Dravida Munnetra Kazhagam,DMK,1,79744,65939,13805,17.311647271268058
S22115,PALLADAM - 115,K.RAMKUMAR,Tamilaga Vettri Kazhagam,120703,594,121297,40.3,35/35,11:30 PM,04/05/2026,Tamilaga Vettri Kazhagam,TVK,1,121297,83400,37897,31.243146986322827
S2230,PALLAVARAM - 30,J.KAMATCHI,Tamilaga Vettri Kazhagam,133119,492,133611,47.1,35/35,11:30 PM,04/05/2026,Tamilaga Vettri Kazhagam,TVK,1,133611,78918,54693,40.934503895637334
S22154,PANRUTI - 154,MOHAN. K,All India Anna Dravida Munnetra Kazhagam,77385,1013,78398,37.2,23/23,11:30 PM,04/05/2026,All India Anna Dravida Munnetra Kazhagam,AIADMK,1,78398,67735,10663,13.601112273272278
S22172,PAPANASAM - 172,A.M. SHAHJAHAN,Indian Union Muslim League,68742,542,69284,33.35,23/23,11:30 PM,04/05/2026,Indian Union Muslim League,Indian Union Muslim League,1,69284,68219,1065,1.5371514346746724
S2260,PAPPIREDDIPATTI - 60,MARAGATHAM VETRIVEL,All India Anna Dravida Munnetra Kazhagam,100096,1733,101829,43.03,25/25,11:30 PM,04/05/2026,All India Anna Dravida Munnetra Kazhagam,AIADMK,1,101829,68715,33114,32.51922340394191
S22209,PARAMAKUDI - 209,ADVOCATE. KATHIRAVAN. K.K,Dravida Munnetra Kazhagam,58217,944,59161,31.18,25/25,11:30 PM,04/05/2026,Dravida Munnetra Kazhagam,DMK,1,59161,55613,3548,5.997194097462855
S2295,PARAMATHI-VELUR - 95,SEKAR S,All India Anna Dravida Munnetra Kazhagam,60017,1332,61349,32.49,20/20,11:30 PM,04/05/2026,All India Anna Dravida Munnetra Kazhagam,AIADMK,1,61349,61041,308,0.5020456731161062
S22176,PATTUKKOTTAI - 176,ANNADURAI K,Dravida Munnetra Kazhagam,65297,666,65963,35.9,24/24,11:30 PM,04/05/2026,Dravida Munnetra Kazhagam,DMK,1,65963,52209,13754,20.851083182996526
